fid,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,number,type,distance,angle,u_x,u_z
1,New file 1,,,,,,,,,,,,216,225.125599763484,,
1,New file 1,,,,,,,,,,,,218,225.125599763484,,
1,New file 1,,,,,,,,,,,,220,225.125599763484,,
1,New file 1,,,,,,,,,,,,222,220.156173443206,,
1,New file 1,,,,,,,,,,,,224,220.156173443206,,
1,New file 1,,,,,,,,,,,,226,220.156173443206,,
1,New file 1,,,,,,,,,,,,228,220.084196340142,,
1,New file 1,,,,,,,,,,,,230,220.084196340142,,
1,New file 1,,,,,,,,,,,,232,220.084196340142,,
1,New file 1,,,,,,,,,,,,234,220.084196340142,,
1,New file 1,,,,,,,,,,,,236,220.084196340142,,
1,New file 1,,,,,,,,,,,,238,220.084196340142,,
1,New file 1,,,,,,,,,,,,240,220.084196340142,,
1,New file 1,,,,,,,,,,,,242,220.084196340142,,
1,New file 1,,,,,,,,,,,,244,220.084196340142,,
1,New file 1,,,,,,,,,,,,246,220.084196340142,,
1,New file 1,,,,,,,,,,,,248,220.084196340142,,
1,New file 1,,,,,,,,,,,,250,220.084196340142,,
1,New file 1,,,,,,,,,,,,252,220.084196340142,,
1,New file 1,,,,,,,,,,,,254,220.084196340142,,
1,New file 1,,,,,,,,,,,,256,220.084196340142,,
1,New file 1,,,,,,,,,,,,258,220.084196340142,,
1,New file 1,,,,,,,,,,,,260,220.084196340142,,
1,New file 1,,,,,,,,,,,,262,220.084196340142,,
1,New file 1,,,,,,,,,,,,264,220.084196340142,,
1,New file 1,,,,,,,,,,,,266,216.496750678019,,
1,New file 1,,,,,,,,,,,,268,216.496750678019,,
1,New file 1,,,,,,,,,,,,270,216.496750678019,,
1,New file 1,,,,,,,,,,,,272,216.496750678019,,
1,New file 1,,,,,,,,,,,,274,216.496750678019,,
1,New file 1,,,,,,,,,,,,276,216.496750678019,,
1,New file 1,,,,,,,,,,,,278,216.496750678019,,
1,New file 1,,,,,,,,,,,,280,216.496750678019,,
1,New file 1,,,,,,,,,,,,282,216.496750678019,,
1,New file 1,,,,,,,,,,,,284,216.496750678019,,
1,New file 1,,,,,,,,,,,,286,216.496750678019,,
1,New file 1,,,,,,,,,,,,288,216.496750678019,,
1,New file 1,,,,,,,,,,,,290,216.496750678019,,
1,New file 1,,,,,,,,,,,,292,216.496750678019,,
1,New file 1,,,,,,,,,,,,294,216.496750678019,,
1,New file 1,,,,,,,,,,,,296,216.496750678019,,
1,New file 1,,,,,,,,,,,,298,203.376622421118,,
1,New file 1,,,,,,,,,,,,300,203.376622421118,,
1,New file 1,,,,,,,,,,,,302,203.376622421118,,
1,New file 1,,,,,,,,,,,,304,203.376622421118,,
1,New file 1,,,,,,,,,,,,306,203.376622421118,,
1,New file 1,,,,,,,,,,,,308,203.376622421118,,
1,New file 1,,,,,,,,,,,,310,212.413887045121,,
1,New file 1,,,,,,,,,,,,312,212.413887045121,,
1,New file 1,,,,,,,,,,,,314,212.413887045121,,
1,New file 1,,,,,,,,,,,,316,212.413887045121,,
1,New file 1,,,,,,,,,,,,318,212.413887045121,,
1,New file 1,,,,,,,,,,,,320,190.697079572607,,
1,New file 1,,,,,,,,,,,,322,190.697079572607,,
1,New file 1,,,,,,,,,,,,324,190.697079572607,,
1,New file 1,,,,,,,,,,,,326,190.697079572607,,
1,New file 1,,,,,,,,,,,,328,179.832182951948,,
1,New file 1,,,,,,,,,,,,330,179.832182951948,,
1,New file 1,,,,,,,,,,,,332,179.832182951948,,
1,New file 1,,,,,,,,,,,,334,192.558653526229,,
1,New file 1,,,,,,,,,,,,336,204.948292480386,,
1,New file 1,,,,,,,,,,,,338,204.948292480386,,
1,New file 1,,,,,,,,,,,,340,233.923994236911,,
1,New file 1,,,,,,,,,,,,342,233.923994236911,,
1,New file 1,,,,,,,,,,,,344,219.206740635795,,
1,New file 1,,,,,,,,,,,,346,219.206740635795,,
1,New file 1,,,,,,,,,,,,348,219.206740635795,,
1,New file 1,,,,,,,,,,,,350,196.589895204512,,
1,New file 1,,,,,,,,,,,,352,196.589895204512,,
1,New file 1,,,,,,,,,,,,354,167.848228740491,,
1,New file 1,,,,,,,,,,,,356,167.848228740491,,
1,New file 1,,,,,,,,,,,,358,167.848228740491,,
1,New file 1,,,,,,,,,,,,360,124.753853823197,,
1,New file 1,,,,,,,,,,,,362,124.753853823197,,
1,New file 1,,,,,,,,,,,,364,105.781690490246,,
1,New file 1,,,,,,,,,,,,366,105.781690490246,,
1,New file 1,,,,,,,,,,,,368,105.781690490246,,
1,New file 1,,,,,,,,,,,,370,80.379540372154,,
1,New file 1,,,,,,,,,,,,372,80.379540372154,,
1,New file 1,,,,,,,,,,,,374,44.9833822024626,,
1,New file 1,,,,,,,,,,,,376,44.9833822024626,,
1,New file 1,,,,,,,,,,,,378,44.9833822024626,,
1,New file 1,,,,,,,,,,,,380,44.9833822024626,,
1,New file 1,,,,,,,,,,,,382,44.9833822024626,,
1,New file 1,,,,,,,,,,,,384,44.9833822024626,,
1,New file 1,,,,,,,,,,,,386,44.9833822024626,,
1,New file 1,,,,,,,,,,,,388,44.9833822024626,,
1,New file 1,,,,,,,,,,,,390,38.261348656679,,
1,New file 1,,,,,,,,,,,,392,38.261348656679,,
1,New file 1,,,,,,,,,,,,394,38.261348656679,,
1,New file 1,,,,,,,,,,,,396,38.261348656679,,
1,New file 1,,,,,,,,,,,,398,38.261348656679,,
1,New file 1,,,,,,,,,,,,400,38.261348656679,,
1,New file 1,,,,,,,,,,,,402,38.261348656679,,
1,New file 1,,,,,,,,,,,,404,38.261348656679,,
1,New file 1,,,,,,,,,,,,406,38.261348656679,,
1,New file 1,,,,,,,,,,,,408,38.261348656679,,
1,New file 1,,,,,,,,,,,,410,38.261348656679,,
1,New file 1,,,,,,,,,,,,412,38.261348656679,,
1,New file 1,,,,,,,,,,,,414,38.261348656679,,
1,New file 1,,,,,,,,,,,,416,38.261348656679,,
1,New file 1,,,,,,,,,,,,418,38.261348656679,,
1,New file 1,,,,,,,,,,,,420,38.261348656679,,
1,New file 1,,,,,,,,,,,,422,38.261348656679,,
1,New file 1,,,,,,,,,,,,424,38.261348656679,,
1,New file 1,,,,,,,,,,,,426,38.261348656679,,
1,New file 1,,,,,,,,,,,,428,58.9915192727613,,
1,New file 1,,,,,,,,,,,,430,58.9915192727613,,
1,New file 1,,,,,,,,,,,,432,58.9915192727613,,
1,New file 1,,,,,,,,,,,,434,77.8513380671875,,
1,New file 1,,,,,,,,,,,,436,77.8513380671875,,
1,New file 1,,,,,,,,,,,,438,128.841440103229,,
1,New file 1,,,,,,,,,,,,440,189.955170470733,,
1,New file 1,,,,,,,,,,,,442,219.151203583881,,
1,New file 1,,,,,,,,,,,,444,219.151203583881,,
1,New file 1,,,,,,,,,,,,446,219.151203583881,,
1,New file 1,,,,,,,,,,,,448,219.151203583881,,
1,New file 1,,,,,,,,,,,,450,201.621750883423,,
1,New file 1,,,,,,,,,,,,452,201.621750883423,,
1,New file 1,,,,,,,,,,,,454,196.074099201043,,
1,New file 1,,,,,,,,,,,,456,196.074099201043,,
1,New file 1,,,,,,,,,,,,458,196.074099201043,,
1,New file 1,,,,,,,,,,,,460,196.074099201043,,
1,New file 1,,,,,,,,,,,,462,196.074099201043,,
1,New file 1,,,,,,,,,,,,464,196.074099201043,,
1,New file 1,,,,,,,,,,,,466,193.465726672482,,
1,New file 1,,,,,,,,,,,,468,193.465726672482,,
1,New file 1,,,,,,,,,,,,470,193.465726672482,,
1,New file 1,,,,,,,,,,,,472,193.465726672482,,
1,New file 1,,,,,,,,,,,,474,193.465726672482,,
1,New file 1,,,,,,,,,,,,476,193.465726672482,,
1,New file 1,,,,,,,,,,,,478,199.733554762743,,
1,New file 1,,,,,,,,,,,,480,199.733554762743,,
1,New file 1,,,,,,,,,,,,482,199.733554762743,,
1,New file 1,,,,,,,,,,,,484,199.733554762743,,
1,New file 1,,,,,,,,,,,,486,199.733554762743,,
1,New file 1,,,,,,,,,,,,488,199.733554762743,,
1,New file 1,,,,,,,,,,,,490,217.071160910012,,
1,New file 1,,,,,,,,,,,,492,217.071160910012,,
1,New file 1,,,,,,,,,,,,494,217.071160910012,,
1,New file 1,,,,,,,,,,,,496,217.071160910012,,
1,New file 1,,,,,,,,,,,,498,217.071160910012,,
1,New file 1,,,,,,,,,,,,500,160.774671365252,,
