fid,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,number,type,distance,angle,x,y,u_x,u_z
1,New file 1,,,,,,,,,,,,44,203.099836672444,672405.8240216470,5268127.4888803111,2788.82402164687,409.511119688861
1,New file 1,,,,,,,,,,,,46,203.099836672444,672405.0393526579,5268125.6492350800,2788.03935265774,411.350764920004
1,New file 1,,,,,,,,,,,,48,203.099836672444,672404.2546836688,5268123.8095898489,2787.25468366873,413.190410151146
1,New file 1,,,,,,,,,,,,50,203.099836672444,672403.4700146796,5268121.9699446168,2786.47001467959,415.03005538322
1,New file 1,,,,,,,,,,,,52,203.099836672444,672402.6853456906,5268120.1302993856,2785.68534569046,416.869700614363
1,New file 1,,,,,,,,,,,,54,203.099836672444,672401.9006767015,5268118.2906541545,2784.90067670133,418.709345845506
1,New file 1,,,,,,,,,,,,56,203.099836672444,672401.1160077122,5268116.4510089234,2784.1160077122,420.548991076648
1,New file 1,,,,,,,,,,,,58,203.099836672444,672400.3313387232,5268114.6113636913,2783.33133872307,422.388636308722
1,New file 1,,,,,,,,,,,,60,203.099836672444,672399.5466697342,5268112.7717184601,2782.54666973406,424.228281539865
1,New file 1,,,,,,,,,,,,62,203.099836672444,672398.7620007450,5268110.9320732290,2781.76200074493,426.067926771007
1,New file 1,,,,,,,,,,,,64,203.099836672444,672397.9773317558,5268109.0924279969,2780.9773317558,427.907572003081
1,New file 1,,,,,,,,,,,,66,203.099836672444,672397.1926627668,5268107.2527827658,2780.19266276667,429.747217234224
1,New file 1,,,,,,,,,,,,68,203.099836672444,672396.4079937777,5268105.4131375346,2779.40799377754,431.586862465367
1,New file 1,,,,,,,,,,,,70,203.099836672444,672395.6233247884,5268103.5734923026,2778.62332478841,433.426507697441
1,New file 1,,,,,,,,,,,,72,203.099836672444,672394.8386557994,5268101.7338470714,2777.83865579939,435.266152928583
1,New file 1,,,,,,,,,,,,74,203.099836672444,672394.0539868104,5268099.8942018403,2777.05398681026,437.105798159726
1,New file 1,,,,,,,,,,,,76,203.099836672444,672393.2693178213,5268098.0545566082,2776.26931782113,438.9454433918
1,New file 1,,,,,,,,,,,,78,203.099836672444,672392.4846488320,5268096.2149113771,2775.484648832,440.785088622943
1,New file 1,,,,,,,,,,,,80,218.798134910696,672391.6720998316,5268094.3919843789,2774.67209983163,442.608015621081
1,New file 1,,,,,,,,,,,,82,218.798134910696,672390.4189429476,5268092.8332676562,2773.41894294752,444.166732343845
1,New file 1,,,,,,,,,,,,84,218.798134910696,672389.1657860634,5268091.2745509325,2772.16578606341,445.72544906754
1,New file 1,,,,,,,,,,,,86,218.798134910696,672387.9126291794,5268089.7158342088,2770.91262917931,447.284165791236
1,New file 1,,,,,,,,,,,,88,257.66400732185,672386.1709072492,5268088.9460472055,2769.17090724909,448.053952794522
1,New file 1,,,,,,,,,,,,90,257.66400732185,672384.2170841332,5268088.5187589750,2767.21708413318,448.481241025031
1,New file 1,,,,,,,,,,,,92,257.66400732185,672382.2632610174,5268088.0914707445,2765.26326101727,448.908529255539
1,New file 1,,,,,,,,,,,,94,257.66400732185,672380.3094379014,5268087.6641825140,2763.30943790136,449.335817486048
1,New file 1,,,,,,,,,,,,96,239.198078383185,672378.4699120206,5268086.9477548273,2761.46991202061,450.052245172672
1,New file 1,,,,,,,,,,,,98,239.198078383185,672376.7520265740,5268085.9236114817,2759.75202657399,451.076388518326
1,New file 1,,,,,,,,,,,,100,239.198078383185,672375.0341411276,5268084.8994681360,2758.03414112749,452.10053186398
1,New file 1,,,,,,,,,,,,102,228.308484197077,672373.5084533616,5268083.6131687462,2756.50845336157,453.386831253767
1,New file 1,,,,,,,,,,,,104,228.308484197077,672372.0149800024,5268082.2829291709,2755.01498000242,454.717070829123
1,New file 1,,,,,,,,,,,,106,228.308484197077,672370.5215066434,5268080.9526895965,2753.52150664339,456.047310403548
1,New file 1,,,,,,,,,,,,108,228.308484197077,672369.0280332844,5268079.6224500220,2752.02803328435,457.377549977973
1,New file 1,,,,,,,,,,,,110,228.308484197077,672367.5345599254,5268078.2922104476,2750.53455992532,458.707789552398
1,New file 1,,,,,,,,,,,,112,228.308484197077,672366.0410865664,5268076.9619708732,2749.04108656629,460.038029126823
1,New file 1,,,,,,,,,,,,114,248.965615426568,672364.4093068816,5268075.8586432505,2747.4093068816,461.14135674946
1,New file 1,,,,,,,,,,,,116,248.965615426568,672362.5425764954,5268075.1407869523,2745.54257649533,461.859213047661
1,New file 1,,,,,,,,,,,,118,248.965615426568,672360.6758461091,5268074.4229306551,2743.67584610893,462.57706934493
1,New file 1,,,,,,,,,,,,120,248.965615426568,672358.8091157225,5268073.7050743569,2741.80911572254,463.294925643131
1,New file 1,,,,,,,,,,,,122,248.965615426568,672356.9423853362,5268072.9872180587,2739.94238533615,464.012781941332
1,New file 1,,,,,,,,,,,,124,248.965615426568,672355.0756549500,5268072.2693617605,2738.07565494988,464.730638239533
1,New file 1,,,,,,,,,,,,126,248.965615426568,672353.2089245636,5268071.5515054623,2736.20892456349,465.448494537733
